apicd,apiname,opercd,opername
15075631,서울대학교 연구소 차세대융합기술연구원_경기도자율주행센터 CCTV 영상 이벤트 데이터,29018,getCECctveventList
3043453,대규모기업집단 공개 현황,21680,기업집단 공개현황 목록조회
15079745,공정거래위원회_방문판매사업자 등록현황 통계 제공 서비스,30992,방문판매사업자 등록현황 통계 조회
15079640,공정거래위원회_통신판매사업자 등록현황 통계 제공 서비스,31555,통신판매사업자 등록현황 통계 조회
15079678,공정거래위원회_전화권유판매사업자 등록변경현황 제공 서비스,31581,전화권유판매사업자 등록변경현황 조회
15079815,공정거래위원회_다단계판매사업자 정보 상세 제공 서비스,31024,다단계판매사업자 정보 상세 제공 조회
15079620,공정거래위원회_통신판매사업자 등록상세 제공 서비스,31561,통신판매사업자 등록상세 조회
15079738,공정거래위원회_방문판매사업자 등록상세 제공 서비스,30985,방문판매사업자 등록상세 조회
15079690,공정거래위원회_방문판매사업자 등록변경현황 제공 서비스,30977,방문판매사업자 등록변경현황 조회
15079805,공정거래위원회_선불식할부거래업사업자 등록상세 제공 서비스,31006,선불식할부거래업사업자 상세 등록 현황 조회
15079460,공정거래위원회_유통거래 실태조사 응답 납품업자 통계제공 서비스,30867,유통거래 실태조사 응답 납품업자 통계 조회
15079634,공정거래위원회_통신판매사업자 등록변경현황 제공 서비스,31560,통신판매사업자 등록변경현황 조회
15079825,공정거래위원회_방문판매법위반사업자 정보공개 상세 제공 서비스,31034,방문판매법위반사업자 위반정보 상세 조회
15079660,공정거래위원회_전화권유판매사업자 등록상세 제공 서비스,30969,전화권유판매사업자 등록상세 조회
15079591,공정거래위원회_통신판매사업자 등록현황 제공 서비스,30942,사업자등록번호별 통신판매사업자 등록현황 조회
15079755,공정거래위원회_후원방문판매사업자 등록상세 제공 서비스,30994,후원방문판매사업자 등록현황 상세 조회
15079823,공정거래위원회_후원방문판매사업자 정보 상세 제공 서비스,31032,후원방문판매사업자 정보 상세 제공 조회
15079697,공정거래위원회_전화권유판매사업자 등록현황 통계 제공 서비스,30978,전화권유판매사업자 등록현황 통계 조회
15079813,공정거래위원회_선불식할부거래업사업자 등록현황 통계 제공 서비스,31017,선불식할부거래업사업자 등록현황 통계 조회
15079816,공정거래위원회_선불식할부거래업사업자 정보 제공 서비스,31590,선불식할부거래업사업자 정보 제공 조회
15079814,공정거래위원회_후원방문판매사업자 정보 제공 서비스,31018,대표자명별 후원방문판매사업자 정보 제공 조회
15079824,공정거래위원회_방문판매법위반사업자 정보공개 제공 서비스,31033,방문판매법위반사업자 위반정보 조회
15079781,공정거래위원회_후원방문판매사업자 등록현황 통계 제공 서비스,30997,후원방문판매사업자 등록현황 통계 조회
15079769,공정거래위원회_후원방문판매사업자 등록변경현황 제공 서비스,30995,후원방문판매사업자 등록변경현황 조회
15079826,공정거래위원회_선불식할부거래업사업자 정보 상세 제공 서비스,31035,선불식할부거래업사업자 정보 상세 제공 조회
15079385,공정거래위원회_다단계판매사업자 등록현황 제공 서비스,30853,다단계판매사업자 등록현황 조회
15079812,공정거래위원회_선불식할부거래업사업자 등록변경현황 제공 서비스,31014,선불식할부거래업사업자 등록현황 변경내역 조회
15079811,공정거래위원회_다단계판매사업자 정보 제공 서비스,31011,다단계사업자등록번호별 다단계판매사업자 정보 제공 조회
15079681,공정거래위원회_방문판매사업자 등록현황 제공 서비스,30971,방문판매사업자 등록현황 조회
15079547,공정거래위원회_다단계판매사업자 등록현황 통계 제공 서비스,30911,다단계판매사업자 등록현황 통계 조회
15079539,공정거래위원회_다단계판매사업자 등록변경현황 제공 서비스,30901,다단계판매사업자 등록변경현황 조회
15079639,공정거래위원회_전화권유판매사업자 등록현황 제공 서비스,30962,사업자등록변호별 전화권유판매사업자 등록현황 조회
15079448,공정거래위원회_다단계판매사업자 등록현황 상세 서비스,31574,다단계판매사업자 등록상세 조회
15079789,공정거래위원회_선불식할부거래업사업자 등록현황 제공 서비스,31582,인허가관리번호별 선불시할부거래업사업자 등록현황 조회
15079741,공정거래위원회_후원방문판매사업자 등록현황 서비스,30986,사업자등록번호별 후원방문판매사업자 등록현황 조회
15058833,공정거래위원회_대규모기업집단 지주회사 조회 서비스,24082,지주회사 자회사 및 손자회사 현황 정보 조회
15059012,공정거래위원회_대규모기업집단 지정현황 조회 서비스,21676,기업집단 지정현황 목록조회
15059222,공정거래위원회_대규모기업집단 소속회사 조회 서비스,24088,소속회사 참여업종 정보 조회
3040312,공정거래위원회_통신판매사업자정보파일,11195,지역별 통신판매사업자 정보 조회
3043441,공정거래위원회_방문판매사업자정보파일,11208,지역별 방문판매사업자 정보 조회
3043446,공정거래위원회_전화권유판매사업자정보파일,11216,지역별 전화권유판매사업자 정보 조회
3043448,공정거래위원회_다단계판매사업자정보파일,11203,정보공개년도별 다단계판매사업자 정보 조회
15012736,공정거래위원회_후원방문판매사업자 정보,11224,지역별 후원방문사업자 정보 조회
15077746,국민권익위원회_반부패분석결과서비스,31673,위원회_부패지수_순위_점수
15059115,국민권익위원회_공모제안조회서비스,24106,공모제안 항목 조회
15059423,국민권익위원회_공개제안조회서비스,24108,공개제안 항목 조회
15074671,국민권익위원회_민원정책 질의응답조회서비스,28330,민원정책 질의응답 목록 조회
15081108,국민권익위원회_민원빅데이터_분석정보_API,31874,오늘의 민원 이슈
15043205,국민권익위원회_반부패신고사례,24200,반부패신고사례 상세 조회
3084452,국민권익위원회_행정심판 재결례 통합검색서비스,12403,재결례 목록 조회
15059607,금융위원회_주식등록예탁가능정보,24619,주식등록예탁가능정보조회
15059610,금융위원회_REPO종목정보,24620,금리정보조회
15059611,금융위원회_채권권리일정정보,24618,채권권리행사일정조회
15059613,금융위원회_크라우드펀딩정보,24657,크라우드펀딩발행사정보조회
15059581,금융위원회_정보공개재산정보,24484,정보공개재산조회
15059601,금융위원회_파산금융회사재무상태표정보,24379,파산금융회사재무상태표조회
15059594,금융위원회_금융회사재무신용정보,24359,금융회사요약재무제표조회
15059599,금융위원회_모기지론발행상세정보,24373,발행개요조회
15059586,금융위원회_모기지론상환내역통계정보,24335,종목별상환내역조회
15059602,금융위원회_파산금융회사손익계산서정보,24380,파산금융회사손익계산서조회
15059595,금융위원회_채권권리행사정보,24505,옵션부채권조기상환조회
15059600,금융위원회_모기지론종목기본정보,24376,모기지론종목기본정보조회
15059604,금융위원회_모기지론기초자산정보,24382,기초자산상환내역조회
15059597,금융위원회_지배구조정보,24366,주주정보조회
15059603,금융위원회_모기지론시장거래현황정보,24381,장외거래현황조회
15059606,금융위원회_금융회사부보정보,24391,부보대상금융회사조회
15059612,금융위원회_주식대차정보,24399,주식대차종목순위조회
15059589,금융위원회_모기지론원본및이자지급정보,24343,원본및이자지급내역조회
15059582,금융위원회_국제거래종목정보,24410,DR종목조회
15061336,금융위원회_금융통계신기술금융사정보,25321,신기술금융사일반현황조회
15061358,금융위원회_금융통계투자자문사정보,25333,투자자문사일반현황조회
15061312,금융위원회_금융통계종합금융회사정보,25338,종합금융회사일반현황조회
15061320,금융위원회_금융통계증권사정보,25341,증권사일반현황조회
15061329,금융위원회_금융통계외은지점정보,25350,외은지점일반현황조회
15061349,금융위원회_금융통계산림조합정보,25380,산림조합일반현황조회
15061195,금융위원회_금융통계공통(신탁)정보,25304,공통(신탁)은행인원현황조회
15059649,금융위원회_공시정보,24414,배당공시정보조회
15059651,금융위원회_금융회사공시정보,24919,금융회사전환사채권발행결정공시정보조회
15061357,금융위원회_금융통계선물사정보,25356,선물사일반현황조회
15061304,금융위원회_금융통계국내은행정보,25371,국내은행일반현황조회
15061306,금융위원회_금융통계생명보험정보,25325,생명보험일반현황조회
15061307,금융위원회_금융통계손해보험정보,25317,손해보험일반현황조회
15061337,금융위원회_금융통계신용협동조합정보,25353,신용협동조합일반현황조회
15061331,금융위원회_금융통계리스사정보,25361,리스사일반현황조회
15061335,금융위원회_금융통계부동산신탁정보,25365,부동산신탁일반현황조회
15061344,금융위원회_금융통계농협협동조합정보,25368,농업협동조합일반현황조회
15061288,금융위원회_금융통계공통(파생상품)정보,25375,공통(파생상품)총괄(신탁 제외)조회
15061316,금융위원회_금융통계저축은행정보,25377,저축은행일반현황조회
15061340,금융위원회_금융통계수산업협동조합정보,25311,수산업협동조합일반현황조회
15061333,금융위원회_금융통계금융지주회사정보,25314,금융지주회사일반현황조회
15061308,금융위원회_금융통계신용카드사정보,25329,신용카드사일반현황조회
15061325,금융위원회_금융통계자산운용사정보,25335,자산운용사일반현황조회
15061356,금융위원회_금융통계할부금융사정보,25346,할부금융사일반현황조회
15043184,금융위원회_기업기본정보,24654,계열회사조회
15043232,금융위원회_금융회사기본정보,24211,금융회사기업개요조회
15043284,금융위원회_주식배당정보,24212,배당정보조회
15043285,금융위원회_파산금융회사 기본정보,24249,파산금융회사기본정보조회
15043360,금융위원회_크라우드펀딩중개업자정보,24831,크라우드펀딩중개업자정보조회
15043362,금융위원회_공매자산정보,24261,공매자산조회
15043364,금융위원회_주식분포및사고주권정보,24329,사고주권여부조회
15043421,금융위원회_채권발행정보,24828,발행자별발행종목현황조회
15043423,금융위원회_주식발행정보,24265,주식발행현황조회
15043445,금융위원회_국제거래외화증권예탁결제정보,24290,시장별외화증권예탁결제현황조회
15043446,금융위원회_단기금융증권거래정보,24288,매매금액조회
15043459,금융위원회_기업 재무정보,24304,손익계산서조회
15043461,금융위원회_신주인수권증권발행정보,24321,신주인수권증권행사가격조회
15043462,금융위원회_채권대차정보,24317,채권업종별참여현황조회
15059614,금융위원회_국가자산정보,24406,대부매각자산조회
15059608,금융위원회_금융회사 자금지원및회수정보,24395,자금지원및회수정보조회
15059605,금융위원회_모기지론증권잔액현황정보,24387,전체증권잔액현황조회
15059587,금융위원회_모기지론발행통계정보,24337,발행금액현황통계조회
15059609,금융위원회_주식권리일정정보,24396,권리행사사유별일정조회
15059585,금융위원회_차입투자정보,24331,부실채권회생정보조회
15059592,금융위원회_채권기본정보,24354,채권기본정보조회
15059590,금융위원회_모기지론콜옵션행사내역정보,24344,콜옵션행사내역조회
15059588,금융위원회_모기지론증권원본및이자상환추이정보,24341,전체증권원본및이자상환추이정보조회
15059591,금융위원회_단기금융증권발행정보,24819,CD발행기본정보조회
15059593,금융위원회_금융회사지배구조정보,24355,금융회사주주정보조회
15059598,금융위원회_REPO거래정보,24370,건별거래조회
15000115,법제처 국가법령정보 공유서비스,20284,행정규칙정보 목록 조회
15068232,해양수산부_해양생태계 종합조사(근해생태분야) 정보제공 서비스,26609,해양생태계 종합조사(근해생태분야) 정보제공 서비스
15068192,해양수산부_해양생태계 종합조사(수중생태분야) 정보제공 서비스,26606,해양생태계 종합조사(수중생태분야) 정보조회
15068169,해양수산부_해양생태계 종합조사(갯벌생태분야) 정보제공 서비스,26604,해양생태계 종합조사(갯벌생태분야) 정보조회
15068147,해양수산부_해양생태계 종합조사(연안생태분야) 정보제공 서비스,26601,해양생태계 종합조사(연안생태조사) 정보조회
