"apicd","apinm","doculink","docunm"
"15094473",식품의약품안전처_마스크 허가현황 기본정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002480667&fileDetailSn=1,IROS_384_마스크 허가현황 기본정보_v1.0.docx
"15094331",문화재청 국립무형유산원_전수교육관 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484082&fileDetailSn=1,"16.[참고]기술문서_전수교육관 정보.docx"
"15094317",문화재청 국립무형유산원_무형유산 학술보고서 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479402&fileDetailSn=1,"8. [참고]기술문서_학술보고서 정보-수정.docx"
"15094080",(재)충청북도문화재연구원_충청북도 문화재,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002476553&fileDetailSn=1,OpenAPI활용가이드_충청북도 문화재 현황_Ver 1.0.docx
"15094770",국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002481992&fileDetailSn=1,해양생물자원관_종분류정보_활용가이드_211105.docx
"15094498",충청북도_녹색제품 구매계획,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483402&fileDetailSn=1,OpenAPI활용가이드_[충청북도_녹색제품 구매계획]_v1.0.docx
"15095109",기상청_국내 공항 이륙예보 조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002484795&fileDetailSn=1,기상청42_국내 공항 이륙예보_조회서비스_오픈API활용가이드.docx
"15089952",한국수자원공사_상수도시설정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002445994&fileDetailSn=1,국가상수도정보_기술문서_v1.0_(취수 정수 가압시설).docx
"15091909",공정거래위원회_지주회사 자회사 및 손자회사 현황 정보 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002455861&fileDetailSn=1,"11. 오픈API활용가이드_지주회사 자회사 및 손자회사 현황 정보 조회 서비스_공정거래위원회.docx"
"15094326",문화재청 국립무형유산원_기증기탁 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479480&fileDetailSn=1,"15.[참고]기술문서_무형문화재 기증기탁 정보-수정.docx"
"15094971",식품의약품안전처_인체조직 수출국 제조원 등록 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483093&fileDetailSn=1,IROS_396_인체조직수출국제조원정보_v1.0.docx
"15094620",국립해양생물자원관_바다거북 이동경로,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002485945&fileDetailSn=1,국립해양생물자원관_해양생명자원통합시스템(MBRIS)_바다거북이동경로_OpenAPI_기술문서_20211123.docx
"15094386",충청북도_30억 이상 주요사업현황 도비보조사업,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483684&fileDetailSn=1,OpenAPI활용가이드_[충청북도_30억 이상 주요사업현황 도비보조사업]_v1.0.docx
"15094321",문화재청 국립무형유산원_무형문화재 전시 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479407&fileDetailSn=1,"12. [참고]기술문서_무형문화재 전시 정보-수정.docx"
"15094511",충청북도_비영리법인 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483307&fileDetailSn=1,OpenAPI활용가이드_[충청북도_비영리법인 현황]_v1.0.docx
"15094785",식품의약품안전처_진단시약 품목별 포장단위정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482015&fileDetailSn=1,IROS_390_진단시약품목별포장단위정보_v1.0-수정.docx
"15094510",충청북도_신재생에너지 인허가 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483682&fileDetailSn=1,OpenAPI활용가이드_[충청북도_신재생에너지 인허가 현황]_v1.0.docx
"15094277","한국인터넷진흥원_인터넷주소(도메인이름, 아이피) 정보 검색 서비스",https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002480150&fileDetailSn=1,활용가이드_한국인터넷진흥원_인터넷주소(도메인이름__IP)정보_검색_서비스(final).docx
"15094964",중앙선거관리위원회_무투표선거구 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483688&fileDetailSn=1,OpenAPI활용가이드(무투표선거구정보)_v3.4.hwp
"15094344",문화재청 국립무형유산원_무형유산 기록화 영상 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479576&fileDetailSn=1,신규 20. [참고]기술문서양식_기록화 영상 정보.docx
