apicd,apinm,doculink,docunm
15077746,국민권익위원회_반부패분석결과서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002468896&fileDetailSn=1,API기술문서 - 반부패현황판정보_수정본_20211021.docx
15059594,금융위원회_금융회사재무신용정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247495&fileDetailSn=1,오픈API 활용자가이드_금융위원회_금융회사재무신용정보.docx
15059606,금융위원회_금융회사부보정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247645&fileDetailSn=1,오픈API 활용자가이드_금융위원회_금융회사부보정보.docx
15061336,금융위원회_금융통계신기술금융사정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273187&fileDetailSn=1,금융통계 활용자가이드_금융통계신기술금융사정보.docx
15061358,금융위원회_금융통계투자자문사정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273226&fileDetailSn=1,금융통계 활용자가이드_금융통계투자자문사정보.docx
15079660,공정거래위원회_전화권유판매사업자 등록상세 제공 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387894&fileDetailSn=1,10.전화권유판매사업자 등록상세 제공 서비스 활용 가이드_v1.0.docx
15079697,공정거래위원회_전화권유판매사업자 등록현황 통계 제공 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387896&fileDetailSn=1,12.전화권유판매사업자 등록현황 통계 제공 서비스 활용 가이드_v1.0.docx
15079824,공정거래위원회_방문판매법위반사업자 정보공개 제공 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387915&fileDetailSn=1,31.방문판매법위반사업자 정보공개 제공 서비스 활용 가이드_v1.0.docx
15079681,공정거래위원회_방문판매사업자 등록현황 제공 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387897&fileDetailSn=1,13.방문판매사업자 등록현황 제공 서비스 활용 가이드_v1.0.docx
15043360,금융위원회_크라우드펀딩중개업자정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002260417&fileDetailSn=1,오픈API 활용자가이드_크라우드펀딩중개업자정보_수정.docx
15000115,법제처 국가법령정보 공유서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001494909&fileDetailSn=0,국가법령정보공유서비스_GW_Open API 활용가이드.docx
15075826,해양수산부_지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366594&fileDetailSn=1,지식정보 생산모델 해수면 수온 15분 격자 D+2 예측값_기술문서.docx
15076242,외교부_국가∙지역별 현지연락처,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002368490&fileDetailSn=1,17.기술문서_외교부_국가_지역별_현지연락처_v1.1.docx
15000830,외교부_국가별 기본정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001617833&fileDetailSn=0,기술문서_국가·지역별 기본정보_v1.7.docx
15075713,해양수산부_해양공간범위,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366746&fileDetailSn=1,해양공간의범위_기술문서.docx
15075850,해양수산부_해양용도구역_항만항행,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366603&fileDetailSn=1,해양용도구역_항만항행_기술문서.docx
3056955,해양수산부_항만시설사용정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001471454&fileDetailSn=0,DAT211_오픈API활용가이드_항만시설사용신고정보.docx
15056684,조달청_공공조달통계정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001533960&fileDetailSn=0,조달청_OpenAPI활용가이드_공공조달통계정보서비스_1.3.docx
15058985,조달청_누리장터 민간낙찰정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001533982&fileDetailSn=0,조달청_OpenAPI활용가이드_누리장터_민간낙찰정보서비스_1.1.docx
15077107,국립암센터_신장암 라이브러리 항암치료 주성분,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370951&fileDetailSn=1,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(19)항암치료_주성분.docx
15001672,국민건강보험공단_검진기관별 정보제공,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002468397&fileDetailSn=1,IROS4_OA_DV_0401_OpenAPI활용가이드_국민건강보험공단(국가건강검진기관정보).docx
15076760,국립암센터_대장암 라이브러리 면역병리 HMSH2 검사결과,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370931&fileDetailSn=1,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(21)면역병리_HMSH2검사결과.docx
15076756,국립암센터_대장암 라이브러리 수술 종류별,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370934&fileDetailSn=1,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(18)수술_종류별.docx
15000576,국립중앙의료원_전국 약국 정보 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001354438&fileDetailSn=0,NIA-IFT-OpenAPI활용가이드-01.국립중앙의료원-약국정보조회서비스.hwp
15079811,공정거래위원회_다단계판매사업자 정보 제공 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002387909&fileDetailSn=1,25.다단계판매사업자 정보 제공 서비스 활용 가이드_v1.0.docx
15061325,금융위원회_금융통계자산운용사정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002273227&fileDetailSn=1,금융통계 활용자가이드_금융통계자산운용사정보.docx
15059593,금융위원회_금융회사지배구조정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002247554&fileDetailSn=1,오픈API 활용자가이드_금융위원회_금융회사지배구조정보.docx
15074706,해양수산부_격자3단계,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366740&fileDetailSn=1,격자3단계_기술문서.docx
15074088,해양수산부_낚시 어선업 신고정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002346939&fileDetailSn=1,[참고]기술문서양식[낚시어선 신고정보 API].docx
15079225,통일부_북한정보포털 통합검색 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002381844&fileDetailSn=1,통일부 공공데이터 오픈API 활용가이드_북한정보포털 통합검색 서비스.docx
15076237,외교부_국가∙지역별 여행경보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002368493&fileDetailSn=1,15.기술문서_외교부_국가_지역별_여행경보_v1.1.docx
15075721,해양수산부_연속정보 수온 (3분),https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366729&fileDetailSn=1,연속정보 수온(3분)_기술문서.docx
15074869,해양수산부_울산_특성평가격자,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002366730&fileDetailSn=1,울산-특성평가격자_기술문서.docx
15074699,해양수산부_격자2단계,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002351368&fileDetailSn=1,격자2단계_기술문서.docx
3078812,관세청_신성질별 국가별 수출입실적,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002472084&fileDetailSn=1,관세청_OpenAPI활용가이드_v2.8.zip
15058054,조달청_나라장터 계약과정통합공개서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001579194&fileDetailSn=0,조달청_OpenAPI활용가이드_나라장터_계약과정통합공개서비스_1.5.docx
3066755,병무청_인터넷입영원계획,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001347784&fileDetailSn=0,_MMA_OPENAIP_0002+인터넷입영원계획_v1.0.docx
15076771,국립암센터_신장암 라이브러리 환자 결핵 병력 여부,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002371002&fileDetailSn=1,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(9)환자_결핵_병력_여부.docx
15001701,건강보험심사평가원_진료행위정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001505735&fileDetailSn=0,OpenAPI활용가이드_건강보험심사평가원(진료행위정보서비스)_수정.docx
15054445,건강보험심사평가원_약가기준정보조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001506248&fileDetailSn=0,OpenAPI활용가이드_건강보험심사평가원(약가기준정보조회서비스)_수정.hwp
15076720,국립암센터_신장암 라이브러리 환자 음주여부,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002371055&fileDetailSn=1,국립암센터_신장암_집계정보_조회서비스_오픈API활용가이드_(4)환자_음주여부.docx
15077681,한국사회복지협의회_봉사활동정보 조회,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374539&fileDetailSn=1,오픈API 활용가이드(VMS) v1.3.docx
15077054,국립암센터_폐암 라이브러리 환자 심장질환 병력 여부,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370701&fileDetailSn=1,국립암센터_폐암_집계정보_조회서비스_오픈API활용가이드_(12)환자_심장질환_병력_여부.docx
