FILE_000000002440890,강원도 삼척시_반려동물 등록 현황.csv
FILE_000000002432710,인천광역시 남동구_금연클리닉 서비스 절차_20210907.csv
FILE_000000002448213,울산광역시_개인서비스요금_20210929.zip
FILE_000000002448781,인천광역시 남동구_승강기설치공사업 업체현황_20210929.csv
FILE_000000002443213,인천광역시 서구_식품접객업소_위탁급식영업_20210923.csv
FILE_000000002433971,제주특별자치도_대기질측정소정보_20210905.csv
FILE_000000002308657,연도별('14_18) 광역시도별 풍수해보험 가입현황.zip
FILE_000000002436498,경상남도_하동군_정보통신업체 현황_20210913.csv
FILE_000000002354592,2019년 POPs측정망 운영결과.zip
FILE_000000002327414,분양데스크CSV.zip
FILE_000000002446223,일,가정양립 지원제도 운영현황(20201231).csv
FILE_000000002440921,국가평생교육진흥원_학점은행제정보시스템_교육훈련기관 관리_기관접수.csv
FILE_000000002437320,대구광역시_서구_재난안전 표지판 설치내역_20210914.csv
FILE_000000002445485,보금자리론_신혼부부여부.csv
FILE_000000002450997,국가평생교육진흥원_학점은행제정보시스템_학점인정대상학교_법학과목.csv
FILE_000000001596154,생활폐기물 중계처리시설 폐기물 처리현황_2018.zip
FILE_000000002449992,article.csv
FILE_000000002443301,농림R&D 과제정보(농림식품 환경생태).csv
FILE_000000002277961,제주특별자치도_11_관광해양레저업_권역별_일자리_미스매치_빅데이터_분석정보_20151231.zip
FILE_000000002442719,농림R&D 과제정보(농림식품 경제사회).csv
FILE_000000002444455,전라남도 목포시_공동주택현황_20210927.csv
FILE_000000002443879,농업정책보험금융원_ 가축재해보험 보험사별, 시도별, 지급현황_2020년 .csv
FILE_000000002436129,인천광역시_중구_구민게시판현황_20210805.csv
FILE_000000002449457,울산광역시_노인주간보호센터_20210930.csv
FILE_000000002430646,통계청_연구종합관리시스템_발간보고서 등록_20210824.csv
FILE_000000002385451,기초자치단체 장애인 고용률(2014~2019).zip
FILE_000000002446430,대전광역시_운송업체별 노선 현황_20210527.csv
FILE_000000002450038,시내공공주택사업현황 (1).csv
FILE_000000002450307,세종도시교통공사_공공자전거(어울링)_대여소현황.csv
FILE_000000002437142,easy-one보증 이용기업 명세.csv
FILE_000000002385338,초중등학교 정보공시 학교기본현황_2020.zip
FILE_000000002445650,전라북도 무주군_태양광 발전소_20210927.csv
FILE_000000002444517,전라북도_남원시_약국현황.csv
FILE_000000002432270,(주)에스알_2021년상반기호남선열차요일별이용률.csv
FILE_000000002448531,서울시설공단_공영주차장 시간별 주차현황.csv
FILE_000000002448000,대전광역시_청년통계_20200531.csv
FILE_000000002397777,부산광역시_연제구_일반건축물시가표준액_20200601.zip
FILE_000000002430391,영문_용어사전(최신법률용어).csv
FILE_000000002448915,tn_lms_student_group.csv
FILE_000000002438624,인천광역시 미추홀구_전철역_20210914.csv
FILE_000000002451999,2012년_2014년 주관기관별 원자력안전연구 과제수 및 지원금액 현황.csv
FILE_000000002449286,210928_한국모태펀드 업종별 신규 투자 실적_금액_2020년 1분기.csv
FILE_000000002441660,인천광역시 부평구_동물 수입 및 전시 업체 현황_20210917.csv
FILE_000000002434210,인천광역시 남동구_전출전입현황_20210908.csv
FILE_000000002446152,기획재정부_공공기관_지정_현황_연간.CSV
FILE_000000002444215,충청남도_부여군_지방세징수현황_20191231.csv
FILE_000000002443571,울산시설공단_어린이테마파크_놀이시설현황_20210915.csv
FILE_000000002435085,인천광역시 남동구_식품위생영업 업소교육_20210909.csv
FILE_000000002446224,중소기업지원 R&D 과제(20201231).CSV
FILE_000000002397659,지방세체납현황.zip
FILE_000000002448031,hotnuews_o.csv
FILE_000000002446676,지식재산 발간물.csv
FILE_000000002445539,보금자리론_용도.csv
FILE_000000002435428,국민행복기금 지역별 햇살론 인수 현황.csv
FILE_000000002443716,토양지하수특허인증현황.csv
FILE_000000002444508,서울특별시_강동구_폐의약품 수거함 위치_20210927.csv
FILE_000000002428959,한국지능정보사회진흥원_2020년 인터넷이용실태조사 통계자료_20201231.zip
FILE_000000002443806,한국보훈복지의료공단_요양병원입원환자통계_중앙보훈병원.csv
FILE_000000001250186,141219_국립공원_화장실_공간데이터.zip
