API ID,API_NM,CO_NM,1차제외,API 종료,표준진단제외,표준,비고,1차진단,2차진단대상
15077181,전라남도 광양시_아동복지급식정보,전라남도 광양시,,,,,,1차진단,진단대상
15074690,전라남도_섬 생활문화 정보,전라남도,,,,,,1차진단,진단대상
15074714,전라남도_천일염 가공기업,전라남도,,,,,,1차진단,진단대상
15074701,전라남도_지역별 강우통계 데이터,전라남도,,,,,,1차진단,진단대상
15074710,전라남도_지역별 교육훈련정보,전라남도,,,,,,1차진단,진단대상
15081336,전라남도_전남 공연장 정보,전라남도,,,,,,1차진단,진단대상
15077076,전라남도 광양시_민방위대피시설,전라남도 광양시,,,,,,1차진단,진단대상
15077186,전라남도 광양시_종량제봉투가격,전라남도 광양시,,,,,,1차진단,진단대상
15077570,전라남도 광양시_주차장정보,전라남도 광양시,,,,,,1차진단,진단대상
15064008,경상북도_통계100대 지표 현황 서비스,경상북도,,,,,,1차진단,진단대상
15044823,경상북도내 시군 주민센터 현황 조회,경상북도,,,,,,1차진단,진단대상
15052026,경상북도 노인전문 간호센터 행사일정 정보,경상북도,,,,,,1차진단,진단대상
3038743,행정안전부_무더위쉼터 정보,행정안전부,,,표준과 중복,,,1차진단,
15056573,경상북도 포항시_주민센터현황,경상북도 포항시,,,,,,1차진단,진단대상
15056845,"경상북도 해수욕장, 섬, 등대 조회",경상북도,,,,,,1차진단,진단대상
15056920,경상북도 포항시_도서관현황,경상북도 포항시,,,,,,1차진단,진단대상
15057022,경상북도내 관광기념품 정보조회,경상북도,,,,,,1차진단,진단대상
15057298,경상북도내 관광(단)지 정보조회,경상북도,,,,,,1차진단,진단대상
15057361,약국 운영 현황,경상북도 김천시,,,,,,1차진단,진단대상
15057465,경상북도 포항시_소방방재센터현황,경상북도 포항시,,,,,,1차진단,진단대상
15057522,민박/펜션업소,경상북도 김천시,,,,,,1차진단,진단대상
15057974,경상북도 포항시_보건의료기관조회서비스,경상북도 포항시,,,,,,1차진단,진단대상
15058243,김천시 체육시설 업체 현황 정보 제공,경상북도 김천시,,,,,,1차진단,진단대상
15058297,경상북도내 레포츠 정보조회,경상북도,,,,,,1차진단,진단대상
15058362,경상북도 포항시_관광지현황,경상북도 포항시,,,,,,1차진단,진단대상
15058974,김천시 관말 잔류염소 검사결과 정보 제공,경상북도 김천시,,,,,,1차진단,진단대상
15059091,경상북도 밥상물가 정보 조회,경상북도,,,,,,1차진단,진단대상
15000933,행정안전부_소방서위치조회서비스,행정안전부,진단제외,API 종료,,,,,
15059207,경상북도 포항시_안경판매업소현황,경상북도 포항시,,,,,,1차진단,진단대상
15059208,경상북도 개인서비스요금 정보 조회,경상북도,,,,,,1차진단,진단대상
15014185,행정안전부_대한민국 공공서비스 정보,행정안전부,진단제외,API 종료,,,,,
15005628,경상북도 안동시_약국 현황,경상북도 안동시,,,,,,1차진단,진단대상
15005629,경상북도 안동시_취업정보,경상북도 안동시,,,,,,1차진단,진단대상
15006153,김천시 등산로 관리 정보,경상북도 김천시,,,,,,1차진단,진단대상
15010832,김천시 무료와이파이,경상북도 김천시,,,,,,1차진단,진단대상
3084504,김천시 공영주차장 현황,경상북도 김천시,,,,,,1차진단,진단대상
15082066,경상남도 양산시_지역별 인구 정보,경상남도 양산시,,,,,,1차진단,진단대상
15084735,경상남도 양산시_읍면동별 유동인구,경상남도 양산시,,,,,,1차진단,진단대상
15084732,경상남도 양산시_관광지 유동인구,경상남도 양산시,,,,,,1차진단,진단대상
15073922,식품의약품안전처_수입식품 수입신고 접수품목,식품의약품안전처,,,,,,1차진단,진단대상
15059056,식품의약품안전처_추적관리대상 의료기기 정보,식품의약품안전처,,,,,,1차진단,진단대상
15073469,한국수자원공사_가뭄대응정보_소방시설 제원정보,한국수자원공사,,,,,,1차진단,진단대상
15073556,한국수자원공사_토지분양 정보 조회 서비스,한국수자원공사,,,,,,1차진단,진단대상
15073767,한국수자원공사_가뭄대응정보_수원시설 운영정보,한국수자원공사,,,,,,1차진단,진단대상
15074227,식품의약품안전처_분류별 마약류취급자 정보,식품의약품안전처,,,,,,1차진단,진단대상
15073873,식품의약품안전처_의료기기 광고제작사별 심의내역,식품의약품안전처,,,,,,1차진단,진단대상
15073949,식품의약품안전처_수입식품 제품DB 정보,식품의약품안전처,,,,,,1차진단,진단대상
15073977,식품의약품안전처_수입식품 해외제조업소 중단품목 정보,식품의약품안전처,,,,,,1차진단,진단대상
15073883,식품의약품안전처_의료기기 회수폐기계획,식품의약품안전처,,,,,,1차진단,진단대상
15073899,식품의약품안전처_의료기기 형명정보,식품의약품안전처,,,,,,1차진단,진단대상
15074234,식품의약품안전처_연도별 마약류취급승인정보,식품의약품안전처,,,,,,1차진단,진단대상
15058756,부산광역시_하수처리시설 일일수질 현황 서비스,부산광역시,,,,,,1차진단,진단대상
15059230,부산광역시_접근로별 회전교통량 정보조회서비스,부산광역시,,,,,,1차진단,진단대상
15059484,부산광역시_구간통행속도 통계 정보조회 서비스,부산광역시,,,,,,1차진단,진단대상
15063858,부산광역시_뮤지컬 상세 서비스,부산광역시,,,,,,1차진단,진단대상
15063738,부산광역시_전시 상세 서비스,부산광역시,,,,,,1차진단,진단대상
15063721,부산광역시_연극 목록,부산광역시,,,,,,1차진단,진단대상
15063855,부산광역시_전통예술 상세 서비스,부산광역시,,,,,,1차진단,진단대상
15077588,부산광역시_갈맷길 VR 정보,부산광역시,,,,,,1차진단,진단대상
15070804,부산광역시 해운대구_사회복지시설 정보 조회 서비스,부산광역시 해운대구,,,,,,1차진단,진단대상
15000522,부산교통공사_부산 도시철도 열차시각표 조회 서비스,부산교통공사,,,,,,1차진단,진단대상
15004511,부산광역시_실시간 환경방사선 현황 정보,부산광역시,,,,,,1차진단,진단대상
15028697,부산광역시_도로 교통량 현황,부산광역시,,,,,,1차진단,진단대상
15034008,부산광역시_방사선 비상시 이재민 구호시설 현황,부산광역시,,,,,,1차진단,진단대상
15034013,부산광역시_장애인 전동보장구 급속충전기 설치 현황,부산광역시,,,,,,1차진단,진단대상
15034018,부산광역시_구군 현수막 지정게시대 현황,부산광역시,,,,,,1차진단,진단대상
