"(재)충청북도문화재연구원_충청북도 문화재",3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
"건강보험심사평가원_병원평가정보서비스",1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0
"건강보험심사평가원_우수기관병원평가정보서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_기업집단별 순환출자 현황 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_내부지분(대동비교) 현황 조회",2,2,0,2,1,1,2,2,0,2,1,1,2,1,1,2,2,0
"공정거래위원회_대규모기업집단 계열 편입/제외/유예 변경내역 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 개요 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 임원현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 재무현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 주주현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_대규모기업집단 소속회사 참여업종 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_사용 가능 공개년월 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 소속회사 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 자산순위 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
"공정거래위원회_지정된 대규모기업집단 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_지주회사 설립 전환 신고현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_지주회사 자회사 및 손자회사 현황 정보 조회 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"공정거래위원회_특수관계인 내부지분 현황 정보 조회",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"국립해양생물자원관_바다거북 이동경로",2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
"국립해양생물자원관_해양생물종정보 서비스",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"국토교통부_전국 교량 및 터널 현황정보",2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,0,0,0
"금융위원회_ISA다모아정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_KRX상장종목정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_금융투자협회기타공시정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_금융투자협회종합통계정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,8,8,0,진단불가,None,0
"금융위원회_금융투자회사공시정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_변액보험기본정보",문서없음,None,0,문서없음,None,0,문서없음,None,0,문서없음,None,0,1,1,0,문서없음,None,0
"금융위원회_서민금융상품기본정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_서민금융지원실적정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
"금융위원회_소매채권수익률정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_실손보험정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_일반상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_주식시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,4,4,0,진단불가,None,0
"금융위원회_증권상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_지수시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,3,3,0,진단불가,None,0
"금융위원회_채권시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_퇴직연금기본정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,1,1,0,진단불가,None,0
"금융위원회_파생상품시세정보",진단불가,None,0,진단불가,None,0,진단불가,None,0,진단불가,None,0,2,2,0,진단불가,None,0
