기관명,전체데이터,오류데이터
대검찰청(A010),911584,161142
제주특별자치도 제주시(C229),277235,3951
제주특별자치도 서귀포시(C230),478676,1455
(재)장애인기업종합지원센터(D003),8776,17
가축위생방역지원본부(D017),408,0
강남구도시관리공단(D019),5977,1163
강릉관광개발공사(D021),5,5
강북구도시관리공단(D024),9474,81
강서구시설관리공단(D026),0,0
강화군시설관리공단(D028),458,8
거제해양관광개발공사(D030),588,0
건설근로자공제회(D034),645522,3296
고양도시관리공사(D042),131,38
과천도시공사(D044),131519,81194
과학기술일자리진흥원(D046),0,0
과학기술정책연구원(D047),5403,1040
광명도시공사(D049),185,0
광진구시설관리공단(D057),20638,150
구로구시설관리공단(D059),200,40
기초과학연구원(D068),78290,7
국립낙동강생물자원관(D071),779,234
국립해양박물관(D078),985,0
국방과학연구소(D083),446864,36931
국제식물검역인증원(D089),690,4
군포도시공사(D093),356,21
기장군도시관리공단(D097),726,0
남양주도시공사(D106),1900,2
달성군시설관리공단(D110),801,678
대구경북첨단의료산업진흥재단(D115),118,0
도봉구시설관리공단(D123),104,12
동해시시설관리공단(D127),624,17
문경관광진흥공단(D129),358,17
부여군시설관리공단(D137),48,8
수도권매립지관리공사(D146),145457,0
서울특별시강동구도시관리공단(D150),1940,0
서울특별시관악구시설관리공단(D152),366,70
서울특별시금천구시설관리공단(D154),1817,101
서울특별시서대문구도시관리공단(D156),5354,196
서울특별시성동구도시관리공단(D158),493,0
성북구도시관리공단(D163),13097,48
세종학당재단(D165),0,0
속초시시설관리공단(D166),467,71
송파구시설관리공단(D168),1962,6
수원도시공사(D170),177391,689
시흥도시공사(D171),594,2
신용보증재단중앙회(D173),1410,573
아산시시설관리공단(D177),1959,138
안성시시설관리공단(D181),7,0
양산시시설관리공단(D184),3857,1123
양주시시설관리공단(D186),26062,2741
양평공사(D188),2054,49
재외동포재단(D190),15,15
여주도시관리공단(D191),355,48
영등포구시설관리공단(D195),686,180
정보통신정책연구원(D199),1309,0
예술의전당(D202),10551,20
오산시시설관리공단(D204),1150,536
용인도시공사(D207),58,31
울산과학기술원(D209),2924,1202
울산광역시남구도시관리공단(D210),133,0
주택관리공단(주)(D211),11732,82
울산광역시중구도시관리공단(D212),30790,12
울주군시설관리공단(D214),641,4
육아정책연구소(D216),5640,430
의정부시시설관리공단(D218),1321,1
이천시시설관리공단(D220),2193,2
인천광역시계양구시설관리공단(D222),2569,89
인천광역시남동구도시관리공단(D223),2316,233
인천광역시미추홀구시설관리공단(D225),3280,427
인천광역시부평구시설관리공단(D227),2680,291
인천광역시서구시설관리공단(D228),288,0
학교법인한국폴리텍(D230),462194,36
재단법인국악방송(D237),2962,1572
한국공예디자인문화진흥원(D243),47672,525
전주시시설관리공단(D248),530,169
정선군시설관리공단(D252),648,140
종로구시설관리공단(D256),11150,505
중소기업은행(D258),35015,2363
창녕군시설관리공단(D260),1222,205
창원시설공단(D262),116163,8378
천안시시설관리공단(D264),18,0
청도공영사업공사(D266),20,0
코레일관광개발(주)(D277),356,168
태권도진흥재단(D284),118,22
통영관광개발공사(D286),468,330
평택도시공사(D289),36,0
포항시시설관리공단(D293),694,0
한국발명진흥회(D294),3069,0
한국법무보호복지공단(D300),306217,298993
한국보건의료인국가시험원(D308),9526128,24003
한국과학기술정보연구원(D314),152432,679
한국교육개발원(D316),844608,3569
한국국제보건의료재단(D326),1552,86
한국산업은행(D327),757261,0
한국기초과학지원연구원(D330),24505,646
한국생명공학연구원(D333),39117,23
한국대학교육협의회(D334),48308,0
한국세라믹기술원(D341),1255478,171080
한국문화관광연구원(D342),20417,9755
한국문화진흥주식회사(D349),2388,0
한국보건의료연구원(D353),182,11
한국어촌어항공단(D356),282,0
한국산업기술시험원(D357),350,0
한국생산기술연구원(D359),380,14
한국수출입은행(D365),618,42
한국영상자료원(D366),231675,371
한국식품연구원(D368),10878,2
한국에너지기술연구원(D372),10479,0
한국여성인권진흥원(D375),104,0
한국의료분쟁조정중재원(D378),305,226
한국전기연구원(D393),937,1
한국전문대학교육협의회(D394),131495,2587
한국전자통신연구원(D396),85175,481
한국지질자원연구원(D406),5809,330
한국철도기술연구원(D410),5826,12
한국청소년정책연구원(D412),0,0
한국항로표지기술원(D423),8036,0
한국해양수산개발원(D426),358,0
한전원자력연료(주)(D438),4482,264
함안지방공사(D440),4697,70
화성도시공사(D444),7232,2460
한국데이터산업진흥원(D451),6849,5
(재)한국형수치예보모델개발사업단(D496),350,0
강원도교육청(D497),388299,90302
강원도교육청 강원도춘천교육지원청(D498),0,0
경기도교육청 경기도고양교육지원청(D499),0,0
경기도교육청 경기도평화교육연수원(D500),530,1
경기도교육청 경기성남교육도서관(D501),29,0
경기도교육청 경기의정부교육도서관(D502),94,0
경기도교육청 경기중앙교육도서관(D503),16,0
경기도교육청 경기평생교육학습관(D504),367,0
경기도교육청 경기화성교육도서관(D505),94,0
경상남도교육청(D506),65962,8516
경상남도교육청 경상남도거제교육지원청(D507),39,0
경상남도교육청 경상남도거창교육지원청(D508),13,0
경상남도교육청 경상남도고성교육지원청(D509),78,0
경상남도교육청 경상남도교육청과학교육원(D510),0,0
경상남도교육청 경상남도교육청김해도서관(D511),1079,0
경상남도교육청 경상남도교육청마산도서관(D512),325,0
경상남도교육청 경상남도교육청창원도서관(D513),195,0
경상남도교육청 경상남도김해교육지원청(D514),20,0
경상남도교육청 경상남도남해교육지원청(D515),117,0
경상남도교육청 경상남도밀양교육지원청(D516),234,0
경상남도교육청 경상남도사천교육지원청(D517),182,0
경상남도교육청 경상남도산청교육지원청(D518),52,0
