id,name,list
L1000087,20191216_POL_ARCH_CINFO.csv,문화체육관광부_정책브리핑_외부연계
L1000088,20191216_TAG_CONTENTS_TBL.csv,문화체육관광부_정책브리핑_외부연계
L1000089,인터넷뉴스 이용률.csv,한국언론진흥재단_(언론수용자 의식조사 통계) 인터넷 뉴스 이용률 응답결과 (2016)
L1000090,건강보험심사평가원_4단상병별 성별 연령군별 통계 2013.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000091,건강보험심사평가원_4단상병별 성별 연령군별 통계 2014.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000092,건강보험심사평가원_4단상병별 성별 연령군별 통계 2015.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000093,건강보험심사평가원_4단상병별 성별 연령군별 통계 2016.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000094,건강보험심사평가원_4단상병별 성별 연령군별 통계 2017.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000095,건강보험심사평가원_4단상병별 성별 연령군별 통계 2018.csv,건강보험심사평가원_4단상병별 성별 연령군별 통계
L1000096,전국오염원조사시스템_생활계_대권역별_인구수.csv,환경부 국립환경과학원_전국오염원조사시스템_생활계 통계
L1000097,전국오염원조사시스템_생활계_시군구별_인구수.csv,환경부 국립환경과학원_전국오염원조사시스템_생활계 통계
L1000098,전국오염원조사시스템_생활계_시도별_인구수.csv,환경부 국립환경과학원_전국오염원조사시스템_생활계 통계
L1000099,전국오염원조사시스템_생활계_중권역별_인구수.csv,환경부 국립환경과학원_전국오염원조사시스템_생활계 통계
L1000100,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page10.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000101,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page11.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000102,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page12.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000103,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page13.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000104,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page14.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000105,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page15.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000106,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page16.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000107,3-3생활권_복합커뮤니티센터_건립공사(실시설계)_Page17.csv,조달청_총사업비관리대상사업(설계적정성검토사례)
L1000001,광주광역시_특수통상정보_202106_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000002,대구광역시_등기소포(창구)정보_10_202101_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000003,대구광역시_등기소포(창구)정보_10_202102_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000004,대구광역시_등기소포(창구)정보_10_202103_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000005,대구광역시_등기소포(창구)정보_10_202104_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000006,대구광역시_등기소포(창구)정보_10_202105_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000007,대구광역시_등기소포(창구)정보_10_202106_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000008,대구광역시_등기소포(택배)정보_10_202101_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000009,대구광역시_등기소포(택배)정보_10_202102_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000010,대구광역시_등기소포(택배)정보_10_202103_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000011,대구광역시_등기소포(택배)정보_10_202104_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000012,대구광역시_등기소포(택배)정보_10_202105_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000013,대구광역시_등기소포(택배)정보_10_202106_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000014,대구광역시_일반통상정보_202101_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000015,대구광역시_일반통상정보_202102_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000016,대구광역시_일반통상정보_202103_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000017,대구광역시_일반통상정보_202104_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000018,대구광역시_일반통상정보_202105_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000019,대구광역시_일반통상정보_202106_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000020,대구광역시_특수통상정보_202101_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000021,대구광역시_특수통상정보_202102_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000022,대구광역시_특수통상정보_202103_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000023,대구광역시_특수통상정보_202104_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000024,대구광역시_특수통상정보_202105_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000025,대구광역시_특수통상정보_202106_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000026,대전광역시_등기소포(창구)정보_8_202101_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000027,대전광역시_등기소포(창구)정보_8_202102_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
L1000028,대전광역시_등기소포(창구)정보_8_202103_2.csv,과학기술정보통신부 우정사업본부_우편물류 정보
