파일ID,기관명
F100039506,강원도
F100039796,강원도 속초시
F100039726,강원도 원주시
F100039725,강원도 원주시
F100039728,강원도 원주시
F100039727,강원도 원주시
F100039729,강원도 원주시
F100037145,경기도 구리시
F100036167,경기도 구리시
F100036225,경기도 구리시
F100036453,경기도 구리시
F100036457,경기도 구리시
F100036745,경기도 구리시
F100036533,경기도 구리시
F100036328,경기도 구리시
F100036543,경기도 구리시
F100036554,경기도 구리시
F100036563,경기도 구리시
F100036177,경기도 구리시
F100036162,경기도 구리시
F100037450,경기도 구리시
F100037281,경기도 구리시
F100037392,경기도 구리시
F100036607,경기도 구리시
F100036990,경기도 구리시
F100037143,경기도 구리시
F100037146,경기도 군포시
F100037179,경기도 군포시
F100036184,경기도 군포시
F100036737,경기도 군포시
F100036179,경기도 군포시
F100037137,경기도 군포시
F100037017,경기도 군포시
F100036987,경기도 군포시
F100036852,경기도 군포시
F100037282,경기도 군포시
F100039117,경기도 군포시
F100036537,경기도 군포시
F100036553,경기도 군포시
F100036330,경기도 군포시
F100036532,경기도 군포시
F100036560,경기도 수원시
F100036550,경기도 수원시
F100036606,경기도 수원시
F100038715,경기도 연천군
F100035028,경기도 의정부시
F100035029,경기도 의정부시
F100035030,경기도 의정부시
F100037433,경기도 의정부시
F100037907,경기도 의정부시
F100037908,경기도 의정부시
F100037910,경기도 의정부시
F100035027,경기도 의정부시
F100035200,경기도 의정부시
F100035855,경기도 의정부시
F100038303,경기도 의정부시
F100038301,경기도 의정부시
F100036525,경기도 의정부시
F100038304,경기도 의정부시
F100038307,경기도 의정부시
F100037911,경기도 의정부시
F100038297,경기도 의정부시
F100038174,경기도 의정부시
F100038294,경기도 의정부시
F100038295,경기도 의정부시
F100038296,경기도 의정부시
F100038298,경기도 의정부시
F100038299,경기도 의정부시
F100038300,경기도 의정부시
F100037919,경기도 의정부시
F100036862,경기도 의정부시
F100038302,경기도 의정부시
F100038141,경기도 이천시
F100038207,경기도 이천시
F100038198,경기도 이천시
F100038167,경기도 이천시
F100038165,경기도 이천시
F100035063,경기도 하남시
F100053179,경상남도
F100053557,경상남도
F100053761,경상남도
F100053767,경상남도
F100053196,경상남도
F100053028,경상남도
F100052987,경상남도
F100053056,경상남도
F100053261,경상남도
F100054273,경상남도 남해군
F100054272,경상남도 남해군
F100054274,경상남도 남해군
F100053685,경상남도 양산시
F100053023,경상남도 창원시
F100053258,경상남도 창원시
F100053259,경상남도 창원시
F100053260,경상남도 창원시
F100053263,경상남도 창원시
F100053024,경상남도 창원시
F100053025,경상남도 창원시
F100053027,경상남도 창원시
F100053050,경상남도 창원시
F100053051,경상남도 창원시
F100053052,경상남도 창원시
F100053053,경상남도 창원시
F100053054,경상남도 창원시
F100053709,경상남도 창원시
F100053710,경상남도 창원시
F100053808,경상남도 창원시
F100053824,경상남도 창원시
F100053846,경상남도 창원시
F100053848,경상남도 창원시
F100053849,경상남도 창원시
F100053850,경상남도 창원시
F100053852,경상남도 창원시
F100053766,경상남도 창원시
F100053789,경상남도 창원시
F100053341,경상남도 창원시
F100053847,경상남도 창원시
F100053562,경상남도 창원시
F100053585,경상남도 창원시
F100053181,경상남도 창원시
F100053189,경상남도 창원시
F100052984,경상남도 창원시
F100052994,경상남도 창원시
F100053247,경상남도 창원시
F100053255,경상남도 창원시
F100053494,경상남도 창원시
F100053248,경상남도 창원시
F100053587,경상남도 창원시
F100053340,경상남도 창원시
F100053342,경상남도 창원시
F100053343,경상남도 창원시
F100053420,경상남도 창원시
F100053421,경상남도 창원시
F100053422,경상남도 창원시
F100053423,경상남도 창원시
F100053495,경상남도 창원시
F100053559,경상남도 창원시
F100053560,경상남도 창원시
F100053561,경상남도 창원시
F100053586,경상남도 창원시
F100053675,경상남도 창원시
F100053678,경상남도 창원시
F100053679,경상남도 창원시
F100053680,경상남도 창원시
F100053683,경상남도 창원시
F100053686,경상남도 창원시
F100053173,경상남도 창원시
F100053174,경상남도 창원시
F100053175,경상남도 창원시
F100053176,경상남도 창원시
F100053177,경상남도 창원시
F100053178,경상남도 창원시
F100053182,경상남도 창원시
F100053183,경상남도 창원시
F100053186,경상남도 창원시
F100053188,경상남도 창원시
F100053190,경상남도 창원시
F100053191,경상남도 창원시
F100053192,경상남도 창원시
F100053195,경상남도 창원시
F100052978,경상남도 창원시
F100052979,경상남도 창원시
F100052980,경상남도 창원시
F100052981,경상남도 창원시
F100052985,경상남도 창원시
F100052986,경상남도 창원시
F100052992,경상남도 창원시
F100052993,경상남도 창원시
F100052995,경상남도 창원시
F100052996,경상남도 창원시
F100052997,경상남도 창원시
F100053001,경상남도 창원시
F100053240,경상남도 창원시
F100053241,경상남도 창원시
F100053242,경상남도 창원시
F100053243,경상남도 창원시
F100053245,경상남도 창원시
F100053246,경상남도 창원시
F100053250,경상남도 창원시
F100053251,경상남도 창원시
F100053252,경상남도 창원시
F100052914,경상남도 하동군
F100050211,경상북도
F100051996,경상북도 상주시
F100051998,경상북도 상주시
F100051997,경상북도 상주시
F100062566,공무원연금공단
F100062568,공무원연금공단
F100062565,공무원연금공단
F100062550,공무원연금공단
F100062567,공무원연금공단
F100018695,과학기술정보통신부
F100032463,광주광역시
F100031104,광주광역시
F100032450,광주광역시
F100032466,광주광역시
