id,organ,col
F100037195,경기도 여주시,20
F100036155,경기도 여주시,12
F100037229,경기도 여주시,24
F100017222,한국부동산원,33
F100063707,사립학교교직원연금공단,7
F100014025,제주국제자유도시개발센터,7
F100019729,세종특별자치시,5
F100002689,대검찰청,12
F100022765,부산광역시 영도구,14
F100004290,교육부,15
F100030768,인천광역시 동구,2
F100021884,서울특별시 동작구,18
F100016451,한국부동산원,186
F100027759,인천광역시 서구,12
F100040562,강원도 삼척시,13
F100039806,강원도 속초시,19
F100039363,경기도 구리시,15
F100017535,한국부동산원,214
F100039362,경기도 구리시,15
F100017537,한국부동산원,214
F100017234,한국부동산원,16
F100016900,한국도로공사,5
F100001890,법무부,9
F100002907,국방부,8
F100002912,국방부,8
F100002916,국방부,8
F100002956,국방부,8
F100002920,국방부,8
F100036841,경기도 과천시,13
F100002952,국방부,8
F100066766,한국재정정보원,10
F100066767,한국재정정보원,4
F100037963,경기도 김포시,6
F100034400,울산광역시,8
F100028540,인천광역시 중구,5
F100030430,인천광역시 중구,6
F100028618,인천광역시 중구,6
F100030113,인천광역시 중구,6
F100030446,인천광역시 중구,8
F100046934,전라북도,7
F100030461,인천광역시 중구,7
F100018699,우체국금융개발원,19
F100028427,인천광역시 중구,7
F100040924,강원도 삼척시,6
F100021817,서울특별시 강북구,5
F100042858,충청북도 청주시,6
F100021825,서울특별시 강북구,3
F100021829,서울특별시 강북구,4
F100020382,서울특별시 구로구,25
F100028670,인천광역시 중구,5
F100021831,서울특별시 강북구,3
F100021835,서울특별시 강북구,5
F100020930,서울특별시 구로구,32
F100023794,부산광역시 영도구,11
F100016604,국토교통과학기술진흥원,8
F100031865,광주광역시,7
F100015154,국토교통과학기술진흥원,6
F100054871,경상남도 양산시,8
F100066312,예금보험공사,23
F100056801,제주특별자치도,71
F100056789,제주특별자치도,71
F100056786,제주특별자치도,71
F100002932,국방부,8
F100002936,국방부,8
F100002959,국방부,8
F100002939,국방부,8
F100002943,국방부,8
F100031735,광주광역시,15
F100024922,부산광역시 남구,5
F100064520,사립학교교직원연금공단,3
F100047456,전라남도 목포시,6
F100056766,제주특별자치도,71
F100016907,한국도로공사,26
F100039568,강원도 강릉시,6
F100022326,서울특별시 서대문구,25
F100056746,제주특별자치도,71
F100029447,인천광역시,7
F100056763,제주특별자치도,71
F100045131,전라북도 전주시,7
F100030520,인천광역시,8
F100056768,제주특별자치도,71
F100056769,제주특별자치도,71
F100018535,과학기술정보통신부 중앙전파관리소,4
F100018537,과학기술정보통신부 중앙전파관리소,4
F100018347,한국전자통신연구원,7
F100002647,대검찰청,15
F100002649,대검찰청,15
F100057728,경상북도교육청 경상북도교육청영주선비도서관,10
F100057729,경상북도교육청 경상북도교육청영주선비도서관,10
F100040614,강원도 태백시,29
F100014979,주택도시보증공사,14
F100021506,서울특별시 동작구,6
F100022363,서울특별시 서대문구,31
F100055228,경상남도 하동군,6
F100022352,서울특별시 서대문구,32
F100010655,한국에너지공단,10
F100021091,서울특별시 성동구,5
F100028083,인천광역시 서구,25
F100005493,건강보험심사평가원,9
F100014023,제주국제자유도시개발센터,7
F100014020,제주국제자유도시개발센터,7
F100014014,제주국제자유도시개발센터,13
F100014004,제주국제자유도시개발센터,7
F100014003,제주국제자유도시개발센터,7
F100017247,한국부동산원,16
F100058009,한국소비자원,12
F100052826,경상남도 하동군,5
F100032183,광주광역시 광산구,10
F100000212,해양수산부,12
F100021020,서울특별시 구로구,18
F100021797,서울특별시 강북구,4
F100020270,서울특별시 구로구,16
F100024897,부산광역시 남구,4
F100039891,강원도 태백시,17
F100046974,전라북도,9
F100046548,전라북도 전주시,9
F100054833,경상남도 양산시,8
F100007697,한국전력공사,6
F100007696,한국전력공사,6
F100056816,제주특별자치도,71
F100056810,제주특별자치도,71
F100056804,제주특별자치도,71
F100056760,제주특별자치도,71
F100056780,제주특별자치도,71
F100056803,제주특별자치도,71
F100031866,광주광역시,6
F100017545,한국부동산원,214
F100029708,인천광역시 서구,3
F100027901,인천광역시 동구,4
F100030457,인천광역시 중구,5
F100004522,보건복지부 국립재활원,14
F100004523,보건복지부 국립재활원,14
F100027896,인천광역시 동구,4
F100037958,경기도 김포시,4
F100038128,경기도 김포시,10
F100041595,충청북도,13
F100037411,경기도 과천시,29
F100041596,충청북도,13
F100017184,한국부동산원,186
F100061094,한국사학진흥재단,13
F100030374,인천광역시 중구,9
F100030410,인천광역시 중구,7
F100063646,신용보증기금,15
F100030400,인천광역시 중구,7
F100027745,인천광역시 중구,7
F100045672,전라북도 군산시,17
F100065340,한국주택금융공사,12
F100009611,한전KDN(주),4
F100055229,경상남도 하동군,6
F100037410,경기도 여주시,29
F100056849,제주특별자치도,71
F100056848,제주특별자치도,71
F100056847,제주특별자치도,71
F100056845,제주특별자치도,71
F100056844,제주특별자치도,71
F100056842,제주특별자치도,71
F100056823,제주특별자치도,71
F100056821,제주특별자치도,71
F100056820,제주특별자치도,71
F100056819,제주특별자치도,71
F100022944,부산광역시 중구,4
